City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
137,Mount Gambier,AU,-37.8333,140.7667,67.91,68,75,10.36,broken clouds
138,Chokurdakh,RU,70.6333,147.9167,-32.1,100,51,4.03,broken clouds
139,Kahului,US,20.8947,-156.47,78.82,67,40,17.27,scattered clouds
140,Ambunti,PG,-4.2365,142.8448,84.49,76,100,0.27,overcast clouds
141,Lukovetskiy,RU,64.2956,41.9211,13.98,97,100,4.38,snow
142,Gigmoto,PH,13.7796,124.39,80.37,77,75,8.68,broken clouds
143,Chicama,PE,-7.8447,-79.1469,66.74,68,99,6.58,overcast clouds
144,Port-Gentil,GA,-0.7193,8.7815,80.53,80,100,10.11,light rain
145,Mokrousovo,RU,55.8103,66.7653,-1.08,99,69,7.2,broken clouds
146,Homer,US,59.6425,-151.5483,37.27,90,0,4.61,clear sky
147,Huntsville,US,34.7304,-86.5861,59.13,44,0,9.22,clear sky
148,Barrow,US,71.2906,-156.7887,-25.58,68,0,8.05,clear sky
149,Zolotonosha,UA,49.6689,32.0377,30.49,85,65,6.6,broken clouds
150,Kautokeino,NO,69.0125,23.0412,0.81,95,83,4.76,broken clouds
151,Vestmanna,FO,62.1564,-7.1664,32.92,100,75,3.44,snow
152,Zyryanka,RU,65.75,150.85,-20.04,91,16,0.87,few clouds
153,Simao,CN,22.7886,100.9748,62.04,43,5,3.15,clear sky
154,Bucerias,MX,20.75,-105.3333,75.97,90,4,0.78,clear sky
155,Shepsi,RU,44.0361,39.1489,42.96,77,50,3.36,scattered clouds
156,Mahebourg,MU,-20.4081,57.7,79.09,94,75,9.22,broken clouds
157,Vila Velha,BR,-20.3297,-40.2925,73.94,97,75,4.61,broken clouds
158,Bama,NG,11.5221,13.6856,69.28,19,11,4.94,few clouds
159,Quelimane,MZ,-17.8786,36.8883,76.95,94,75,5.99,broken clouds
160,Kaeo,NZ,-35.1,173.7833,77.32,60,98,6.89,overcast clouds
161,Kaitangata,NZ,-46.2817,169.8464,62.92,51,18,8.25,few clouds
162,Takestan,IR,36.0696,49.6959,30.33,85,90,8.77,overcast clouds
163,Adwa,ET,14.1646,38.8955,59.14,67,2,1.14,clear sky
164,Erenhot,CN,43.6475,111.9767,-3.01,90,18,4.68,few clouds
165,Kruisfontein,ZA,-34.0033,24.7314,69.89,93,100,7.38,moderate rain
166,Comodoro Rivadavia,AR,-45.8667,-67.5,69.66,26,40,24.16,light rain
167,Kodiak,US,57.79,-152.4072,38.71,93,100,0.0,mist
168,Constitucion,CL,-35.3333,-72.4167,55.96,89,45,7.58,scattered clouds
169,Solnechnyy,RU,50.7214,136.6319,7.05,78,39,8.75,scattered clouds
170,Aklavik,CA,68.2191,-135.0107,-24.77,99,54,2.68,broken clouds
171,Clyde River,CA,70.4692,-68.5914,-32.57,61,0,8.05,clear sky
172,Pisco,PE,-13.7,-76.2167,69.85,78,20,18.41,few clouds
173,Vao,NC,-22.6667,167.4833,79.32,82,27,17.43,scattered clouds
174,Wana,PK,32.2989,69.5725,43.77,56,0,4.5,clear sky
175,Jiangyou,CN,31.7667,104.7167,50.36,80,100,2.86,overcast clouds
176,Port Macquarie,AU,-31.4333,152.9167,79.9,60,43,8.41,scattered clouds
177,Leczyca,PL,52.0596,19.1997,38.08,90,29,11.52,scattered clouds
178,Vawkavysk,BY,53.1561,24.4513,35.74,92,100,7.87,overcast clouds
179,Najran,SA,17.4924,44.1277,52.45,25,0,1.79,clear sky
180,Sao Filipe,CV,14.8961,-24.4956,73.27,67,100,12.15,overcast clouds
181,Newcastle,AU,-32.9272,151.7765,84.97,57,40,10.36,scattered clouds
182,Betsiamites,CA,48.9413,-68.646,8.49,90,8,7.34,clear sky
183,Ancud,CL,-41.8697,-73.8203,59.43,93,100,7.85,overcast clouds
184,Alcala La Real,ES,37.4614,-3.923,44.6,56,16,1.39,few clouds
185,Lompoc,US,34.6391,-120.4579,55.38,69,0,24.16,clear sky
186,Vylok,UA,48.1092,22.8387,39.94,93,96,4.76,overcast clouds
187,Sao Joao Do Piaui,BR,-8.3581,-42.2467,74.8,75,49,2.68,scattered clouds
188,Bengkulu,ID,-3.8004,102.2655,81.09,69,91,1.1,overcast clouds
189,Cravo Norte,CO,6.3017,-70.2041,85.3,40,100,4.52,overcast clouds
190,Portland,US,45.5234,-122.6762,49.41,81,100,3.44,overcast clouds
191,Saldanha,ZA,-33.0117,17.9442,68.05,93,2,15.86,clear sky
192,Itaporanga,BR,-7.3044,-38.1503,79.48,60,94,7.07,overcast clouds
193,Kurilsk,RU,45.2333,147.8833,25.52,69,89,3.53,overcast clouds
194,Igarka,RU,67.4667,86.5833,-23.37,93,77,4.05,broken clouds
195,Tigil,RU,57.8,158.6667,6.13,74,100,5.08,overcast clouds
196,Yar-Sale,RU,66.8333,70.8333,-12.15,97,100,11.36,overcast clouds
197,Huarmey,PE,-10.0681,-78.1522,72.23,80,99,9.6,overcast clouds
198,Sao Joao Da Barra,BR,-21.6403,-41.0511,75.42,91,100,10.83,overcast clouds
199,Grafton,US,42.207,-71.6856,21.56,58,0,6.91,clear sky
200,Urengoy,RU,65.9667,78.3667,-19.53,100,90,6.87,overcast clouds
201,Hambantota,LK,6.1241,81.1185,71.94,94,20,3.44,few clouds
202,Matagami,CA,49.7502,-77.6328,-3.89,71,0,6.91,clear sky
203,Diamantina,BR,-18.2494,-43.6003,63.97,92,72,1.66,broken clouds
204,Garden City,US,42.3256,-83.331,23.22,72,75,8.05,broken clouds
205,Chapar,IN,26.2667,90.4667,62.28,50,0,2.42,clear sky
206,Houma,US,29.5958,-90.7195,59.0,84,20,11.5,few clouds
207,Avera,US,33.194,-82.5271,53.26,50,0,6.78,clear sky
208,Mosquera,CO,4.7059,-74.2302,57.29,82,75,5.75,broken clouds
209,Ndioum,SN,16.5129,-14.6471,72.34,13,100,10.18,overcast clouds
210,Chichli,IN,22.8333,78.8167,62.42,41,4,1.92,clear sky
211,Pangody,RU,65.85,74.4859,-7.49,98,89,8.77,overcast clouds
212,Husavik,IS,66.0449,-17.3389,30.11,76,100,22.48,overcast clouds
