City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
94,Bambous Virieux,MU,79.05,light rain,-20.3428,57.7575,Casa Tia Villa
96,Hilo,US,77.25,scattered clouds,19.7297,-155.09,Hilo Hawaiian Hotel
100,Kieta,PG,78.1,light rain,-6.2167,155.6333,Uruna Bay Retreat
101,Batemans Bay,AU,89.2,clear sky,-35.7167,150.1833,Batemans Bay Marina Resort
104,Banda Aceh,ID,81.05,overcast clouds,5.5577,95.3222,OYO 884 Rumoh PMI Hotel
113,Boende,CD,75.99,overcast clouds,-0.2167,20.8667,
115,Georgetown,MY,84.13,few clouds,5.4112,100.3354,Cititel Penang
117,Namatanai,PG,79.66,moderate rain,-3.6667,152.4333,Seagulls Inn Namatani
119,Madras,IN,76.96,mist,13.0878,80.2785,"Taj Connemara, Chennai"
122,Saint-Philippe,RE,78.39,scattered clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
124,Sri Aman,MY,78.85,few clouds,1.2376,111.4621,Seri Simanggang Hotel
126,Bathsheba,BB,77.61,broken clouds,13.2167,-59.5167,Atlantis Hotel
129,Auki,SB,82.45,overcast clouds,-8.7676,160.7034,Auki Motel
131,Kavaratti,IN,80.24,broken clouds,10.5669,72.642,Hotels in Lakshadweep Islands
139,Kahului,US,78.82,scattered clouds,20.8947,-156.47,Maui Seaside Hotel
140,Ambunti,PG,84.49,overcast clouds,-4.2365,142.8448,AMBUNTI HIDE INN
142,Gigmoto,PH,80.37,broken clouds,13.7796,124.39,Cj's Travellers Inn
144,Port-Gentil,GA,80.53,light rain,-0.7193,8.7815,Fengshui Residence
154,Bucerias,MX,75.97,clear sky,20.75,-105.3333,Royal Decameron Complex - Puerto Vallarta
156,Mahebourg,MU,79.09,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
159,Quelimane,MZ,76.95,broken clouds,-17.8786,36.8883,Hotel Flamingo
160,Kaeo,NZ,77.32,overcast clouds,-35.1,173.7833,Bushido Lodge
173,Vao,NC,79.32,scattered clouds,-22.6667,167.4833,Hotel Kou-Bugny
176,Port Macquarie,AU,79.9,scattered clouds,-31.4333,152.9167,Rydges Port Macquarie
181,Newcastle,AU,84.97,scattered clouds,-32.9272,151.7765,NOAH'S on the beach
188,Bengkulu,ID,81.09,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
189,Cravo Norte,CO,85.3,overcast clouds,6.3017,-70.2041,Hotel Potosí Los Mirtos
192,Itaporanga,BR,79.48,overcast clouds,-7.3044,-38.1503,Hotel Rainha do Vale
198,Sao Joao Da Barra,BR,75.42,overcast clouds,-21.6403,-41.0511,Pousada Porto De Canoas
213,Lorengau,PG,82.69,moderate rain,-2.0226,147.2712,Lorengau Harbourside Hotel
216,Las Varas,MX,83.68,clear sky,21.1667,-105.1667,Casa Palapas
220,Morros,BR,75.06,broken clouds,-9.4467,-46.3003,
225,Puerto Baquerizo Moreno,EC,75.63,overcast clouds,-0.9,-89.6,Hotel los Algarrobos
228,Alofi,NU,84.09,broken clouds,-19.0595,-169.9187,Taloa Heights
237,La Primavera,CO,81.99,overcast clouds,5.4906,-70.4092,La Riviera Hotel Colonial
244,Palmas,BR,80.47,thunderstorm,-10.2128,-48.3603,Hotel Lago da Palma
245,Ambovombe,MG,75.51,clear sky,-25.1667,46.0833,RELAHARA
249,Yaan,NG,77.25,few clouds,7.3833,8.5667,
250,Saint-Joseph,RE,77.38,scattered clouds,-21.3667,55.6167,"""Plantation Bed and Breakfast"
253,Kirakira,SB,85.21,broken clouds,-10.4544,161.9205,SanBiz Lodge
