City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
24,San Patricio,US,2022-02-11 19:10:40,28.017,-97.5169,78.78,44,0,7.47
25,Castro,BR,2022-02-11 19:10:41,-24.7911,-50.0119,80.2,45,16,2.26
26,Tomatlan,MX,2022-02-11 19:10:41,19.9333,-105.25,88.32,22,0,7.83
27,Pare,ID,2022-02-11 19:10:42,-7.7679,112.198,72.77,98,100,2.59
28,Brae,GB,2022-02-11 19:10:42,60.3964,-1.353,42.71,75,100,17.36
29,Pevek,RU,2022-02-11 19:10:43,69.7008,170.3133,-27.45,99,96,7.0
30,Saskylakh,RU,2022-02-11 19:10:43,71.9167,114.0833,2.52,91,95,12.75
31,Cherskiy,RU,2022-02-11 19:10:44,68.75,161.3,-37.35,100,86,6.02
32,Puerto Ayora,EC,2022-02-11 19:10:44,-0.7393,-90.3518,84.16,85,81,7.0
33,Pasco,US,2022-02-11 19:10:45,28.292,-82.4165,80.04,53,0,3.0
34,Vardo,NO,2022-02-11 19:10:45,70.3705,31.1107,30.18,86,75,19.57
35,Handan,CN,2022-02-11 19:10:45,36.6006,114.4678,38.12,59,62,2.24
36,Baiyin,CN,2022-02-11 19:10:46,36.5583,104.2081,24.35,76,100,9.6
37,Shingu,JP,2022-02-11 19:10:46,33.7333,135.9833,35.91,63,10,6.17
38,Kapaa,US,2022-02-11 19:09:27,22.0752,-159.319,74.19,81,0,3.44
39,Sitka,US,2022-02-11 19:10:47,57.0531,-135.33,42.69,70,100,11.5
40,Port Macquarie,AU,2022-02-11 19:10:47,-31.4333,152.9167,66.09,100,75,9.22
41,Srikakulam,IN,2022-02-11 19:10:48,18.3,83.9,70.86,81,24,5.48
42,Alofi,NU,2022-02-11 19:10:48,-19.0595,-169.9187,81.37,73,3,16.26
43,Hobyo,SO,2022-02-11 19:10:48,5.3505,48.5268,76.8,67,9,19.64
44,Saint George,US,2022-02-11 19:07:43,37.1041,-113.5841,66.67,35,0,3.0
45,Coihaique,CL,2022-02-11 19:10:49,-45.5752,-72.0662,66.15,39,0,6.91
46,Iqaluit,CA,2022-02-11 19:10:49,63.7506,-68.5145,-0.31,77,100,1.99
47,Busselton,AU,2022-02-11 19:11:50,-33.65,115.3333,60.08,90,37,4.29
48,Bambous Virieux,MU,2022-02-11 19:11:50,-20.3428,57.7575,76.21,79,15,2.66
49,Batemans Bay,AU,2022-02-11 19:11:51,-35.7167,150.1833,62.1,90,38,6.42
50,Port Alfred,ZA,2022-02-11 19:11:51,-33.5906,26.891,70.56,85,9,6.26
51,Qaanaaq,GL,2022-02-11 19:11:52,77.484,-69.3632,-24.45,64,0,7.4
52,Ushuaia,AR,2022-02-11 19:11:52,-54.8,-68.3,55.06,67,40,20.71
53,Azare,NG,2022-02-11 19:08:13,11.6765,10.1948,72.09,14,4,10.13
54,Kapoeta,SS,2022-02-11 19:11:53,4.7717,33.5903,89.56,23,93,7.25
55,Alice,US,2022-02-11 19:11:53,27.7523,-98.0697,76.89,41,40,8.05
56,Preston,GB,2022-02-11 19:11:54,53.7667,-2.7167,43.14,82,100,9.01
57,Reims,FR,2022-02-11 19:11:54,49.1667,4.0833,39.94,86,0,3.44
58,Poum,NC,2022-02-11 19:11:55,-20.2333,164.0167,80.37,80,100,8.57
59,Gondanglegi,ID,2022-02-11 19:11:55,-7.7479,112.0132,73.63,97,100,3.4
60,Upernavik,GL,2022-02-11 19:11:55,72.7868,-56.1549,-15.29,79,100,14.5
61,Asau,RO,2022-02-11 19:11:56,46.4333,26.4,38.32,89,19,5.75
62,Pisco,PE,2022-02-11 19:11:56,-13.7,-76.2167,80.65,50,0,17.27
63,Gonbad-E Qabus,IR,2022-02-11 19:11:57,37.25,55.1672,49.01,82,100,3.8
64,Tsabong,BW,2022-02-11 19:11:57,-26.0217,22.401,85.23,34,41,10.8
65,Carnarvon,AU,2022-02-11 19:11:58,-24.8667,113.6333,80.67,74,1,5.75
66,Shelburne,CA,2022-02-11 19:11:58,44.0787,-80.2041,34.12,94,100,19.1
67,Guerrero Negro,MX,2022-02-11 19:11:59,27.9769,-114.0611,73.98,23,0,4.72
68,Astana,KZ,2022-02-11 19:11:59,51.1801,71.446,1.35,78,0,11.18
69,Lebu,CL,2022-02-11 19:12:00,-37.6167,-73.65,61.68,59,0,22.79
70,Tonantins,BR,2022-02-11 19:12:00,-2.8731,-67.8022,90.32,54,100,0.89
71,Sovetskaya Gavan,RU,2022-02-11 19:12:01,48.9723,140.2878,12.88,96,100,2.91
72,Pemba,MZ,2022-02-11 19:12:01,-12.974,40.5178,74.1,94,75,3.44
73,Oudtshoorn,ZA,2022-02-11 19:10:30,-33.5907,22.2014,72.77,55,0,5.14
74,Ostrovnoy,RU,2022-02-11 19:12:02,68.0531,39.5131,20.1,94,100,9.93
75,Ancud,CL,2022-02-11 19:12:02,-41.8697,-73.8203,68.23,53,0,5.75
76,Saint-Leu,RE,2022-02-11 19:12:03,-21.15,55.2833,76.06,76,13,4.85
77,Provideniya,RU,2022-02-11 19:12:03,64.3833,-173.3,-16.6,92,8,9.06
78,Kiunga,PG,2022-02-11 19:12:03,-6.1219,141.2906,71.42,99,100,0.96
79,Hofn,IS,2022-02-11 19:12:04,64.2539,-15.2082,30.56,76,100,20.42
80,Boddam,GB,2022-02-11 19:12:04,57.4667,-1.7833,41.38,77,100,23.15
81,Chokurdakh,RU,2022-02-11 19:12:05,70.6333,147.9167,-5.6,97,100,12.33
82,Tamandare,BR,2022-02-11 19:12:05,-8.7597,-35.1047,85.37,63,93,14.29
83,Razole,IN,2022-02-11 19:12:05,16.4833,81.8333,68.76,87,16,2.51
84,Kaitangata,NZ,2022-02-11 19:12:06,-46.2817,169.8464,54.36,87,100,4.05
85,Qui Nhon,VN,2022-02-11 19:12:06,13.7667,109.2333,72.82,87,100,6.08
86,Aklavik,CA,2022-02-11 19:12:07,68.2191,-135.0107,-26.21,90,27,5.93
87,Haines Junction,CA,2022-02-11 19:12:07,60.7522,-137.5108,14.9,95,100,1.7
88,Fairbanks,US,2022-02-11 19:12:08,64.8378,-147.7164,-0.76,76,0,4.61
89,Nome,US,2022-02-11 19:11:01,64.5011,-165.4064,-3.93,54,0,12.66
90,Dikson,RU,2022-02-11 19:12:08,73.5069,80.5464,2.34,82,100,28.41
91,Port Hardy,CA,2022-02-11 19:13:09,50.6996,-127.4199,43.75,78,63,3.0
92,Nuuk,GL,2022-02-11 19:13:09,64.1835,-51.7216,30.81,93,100,31.07
93,Wahiawa,US,2022-02-11 19:13:10,21.5028,-158.0236,74.46,75,0,0.0
94,Hilo,US,2022-02-11 19:11:17,19.7297,-155.09,77.25,69,40,3.44
95,Nguru,NG,2022-02-11 19:13:10,12.8791,10.4526,71.44,14,5,11.27
96,Xichang,CN,2022-02-11 19:13:11,27.8964,102.2634,41.05,86,3,0.94
97,Samarai,PG,2022-02-11 19:13:11,-10.6167,150.6667,80.64,64,61,13.56
98,Nikolskoye,RU,2022-02-11 19:11:17,59.7035,30.7861,28.29,92,39,8.63
99,Osterburg,DE,2022-02-11 19:13:12,52.7833,11.7667,40.5,87,9,8.46
100,Balabac,PH,2022-02-11 19:13:13,7.9868,117.0645,80.67,82,30,14.27
101,Narsaq,GL,2022-02-11 19:13:13,60.9167,-46.05,23.22,74,100,4.07
102,Lorengau,PG,2022-02-11 19:13:13,-2.0226,147.2712,81.64,78,100,10.89
103,Hermanus,ZA,2022-02-11 19:13:14,-34.4187,19.2345,70.9,88,0,4.34
104,Vaini,TO,2022-02-11 19:13:14,-21.2,-175.2,80.76,89,40,5.75
105,Ust-Kuyga,RU,2022-02-11 19:13:15,70.0167,135.6,-18.72,100,97,7.45
106,Tuktoyaktuk,CA,2022-02-11 19:13:15,69.4541,-133.0374,-22.52,100,51,7.36
107,Baghdad,IQ,2022-02-11 19:13:15,33.3406,44.4009,56.32,56,3,7.29
108,Norman Wells,CA,2022-02-11 19:13:16,65.282,-126.8329,-12.1,100,97,1.01
109,Saint-Philippe,RE,2022-02-11 19:13:16,-21.3585,55.7679,76.59,74,13,7.92
110,Labrea,BR,2022-02-11 19:13:17,-7.2586,-64.7981,86.92,61,100,1.45
111,Fatehabad,IN,2022-02-11 19:13:17,29.5167,75.45,51.48,37,0,3.2
112,College,US,2022-02-11 19:13:18,64.8569,-147.8028,-0.78,75,75,4.61
113,New Norfolk,AU,2022-02-11 19:13:18,-42.7826,147.0587,51.93,67,61,1.99
114,East London,ZA,2022-02-11 19:13:18,-33.0153,27.9116,74.79,84,100,6.4
115,Zhangjiakou,CN,2022-02-11 19:13:19,40.81,114.8794,25.68,58,94,4.38
116,Jamestown,US,2022-02-11 19:12:36,42.097,-79.2353,54.72,42,100,14.97
117,Half Moon Bay,US,2022-02-11 19:13:19,37.4636,-122.4286,75.88,54,0,11.5
